id,produto,ano,valor,categoria,product_id
10,Suco de uva integral,1971,2296654,SUCO,5b66293d-4361-4427-8fcd-33d4ebeab43f
11,Suco de uva concentrado,1971,0,SUCO,76d843fb-19e8-4027-8c54-1c8b703f8fc9
12,Suco de uva adoçado,1971,0,SUCO,db2a815e-dbcc-4546-9602-11a06d5abb8d
13,Suco de uva orgânico,1971,0,SUCO,7520a691-e8fb-4903-9085-03a717c3c97f
14,Suco de uva reconstituído,1971,0,SUCO,bb46766c-3765-4e9e-9ae7-36e420bc3952
16,Espumante,1971,0,DERIVADOS,863b0ce9-9b83-43e7-8bc7-2c7fe89a7be6
17,Espumante moscatel,1971,0,DERIVADOS,1b750dcd-da40-4a6e-b3ac-b2f1e832cdbf
18,Base espumante,1971,0,DERIVADOS,602b4e1d-874e-407b-8dae-c950ca4d9e62
19,Base espumante moscatel,1971,0,DERIVADOS,2443b5f3-34ca-4f0b-955d-b547adfe5470
20,Base Champenoise champanha,1971,0,DERIVADOS,550fd39b-ce8a-4a74-8f25-fefa249f5ef0
21,Base Charmat champanha,1971,0,DERIVADOS,de3aa2f5-80e5-4504-972a-a54a37b0c318
22,Bebida de uva,1971,0,DERIVADOS,51e59bf1-c2c4-4490-aad0-11f07564c2c7
23,Polpa de uva,1971,0,DERIVADOS,2fb0786e-a313-4092-956a-5f38b5544ff3
24,Mosto simples,1971,7646774,DERIVADOS,60c2c1ef-618b-4653-9ab3-8dd5d3d7756f
25,Mosto concentrado,1971,0,DERIVADOS,c745802e-2445-470a-80d9-ada76f193cc5
26,Mosto de uva com bagaço,1971,0,DERIVADOS,e30e04cf-cf85-4388-8e8e-4b11b78e54a5
27,Mosto dessulfitado,1971,0,DERIVADOS,33fbe685-4f22-47ef-adf9-34018169a5b8
28,Mistelas,1971,818400,DERIVADOS,2915eaa0-9701-4334-976a-1ff958488e6d
29,Néctar de uva,1971,0,DERIVADOS,77bea293-58e7-46f6-a84c-6306097fc9de
30,Licorosos,1971,270000,DERIVADOS,38ec4155-b1c6-482c-a639-6a779cdb9cf3
31,Compostos,1971,45000,DERIVADOS,7acdbba0-6f3b-4f30-8b51-7a9fe8ddfffb
32,Jeropiga,1971,0,DERIVADOS,95326fe8-4d70-4312-ab76-854fa0fa80d6
33,Filtrado,1971,0,DERIVADOS,388fcab9-434d-4165-93b3-fadb84755e7a
34,Frisante,1971,0,DERIVADOS,75148331-3a6e-4e21-a758-92b5c0e0aeb2
35,Vinho leve,1971,0,DERIVADOS,2da8d7b0-7409-4058-85ac-d9f91f1e933f
36,Vinho licoroso,1971,0,DERIVADOS,70cff0ad-d8cb-4bcb-8098-bb4e2a5e74cc
37,Brandy,1971,0,DERIVADOS,2e0dda2d-4a32-4deb-8af7-7a300236cb10
38,Destilado,1971,0,DERIVADOS,c6dfc1d2-8261-4067-adc2-f0accb223cf5
39,Bagaceira,1971,913200,DERIVADOS,0198e43b-5dae-40c3-a8be-0ae446e10934
