id,control,cultivar,ano,valor,categoria,product_id
4,ti_Aramon,Aramon,2015,0,TINTAS,a97ec32a-45f8-44ca-842b-ba6413f891ad
5,ti_Alfrocheiro,Alfrocheiro,2015,0,TINTAS,f52b92dd-f8a1-4373-9938-38cb3140d500
6,ti_Arinarnoa,Arinarnoa,2015,61817,TINTAS,b6cd5ccd-40b4-4a01-8af5-7c26f89f42b6
7,ti_Aspirant Bouschet,Aspirant Bouschet,2015,8859,TINTAS,bfe2f1da-cfb9-45d7-a7bb-968900861f52
8,ti_Barbera,Barbera,2015,19980,TINTAS,e68bc038-5633-4505-8719-4987f5d6d3f0
9,ti_Bonarda,Bonarda,2015,0,TINTAS,2a6bbea7-7d9a-4429-9c2a-4250c2083cf8
10,ti_Cabernet Franc,Cabernet Franc,2015,1981004,TINTAS,1a888850-c17c-41e6-89df-4f8204d58f74
11,ti_Cabernet Sauvignon,Cabernet Sauvignon,2015,7426634,TINTAS,98a7cbaa-10e7-4cbf-a733-809c184095e6
12,ti_ Caladoc,Caladoc,2015,4000,TINTAS,4a81121a-654d-4cce-aaba-054bd647fd92
13,ti_Campanario,Campanario,2015,0,TINTAS,8bd9a70f-d0b4-452b-81c5-5951d472d3f0
14,ti_Canaiolo,Canaiolo,2015,0,TINTAS,f32d2e93-8614-49c8-bfe5-65752cb2bd74
15,ti_Carignan,Carignan,2015,0,TINTAS,0495f4b2-9d84-4b91-907f-7073d053254c
16,ti_Carmenere,Carmenere,2015,134180,TINTAS,e0074cb0-7334-40a0-827f-883f0dc10c12
17,ti_Castelão,Castelão,2015,0,TINTAS,7aa8f9c3-8eea-4bf6-9631-9c268e195df9
18,ti_Corvina,Corvina,2015,1397,TINTAS,d61f97cc-f5c2-424b-b553-78f6c73e3395
19,ti_Croatina,Croatina,2015,0,TINTAS,9bf653d1-9227-4207-bcf4-48fc2262b7be
20,ti_Cinsaut,Cinsaut,2015,0,TINTAS,10bd0d6a-7272-407d-84b1-f7b728ae75a8
21,ti_Dom Felder,Dom Felder,2015,0,TINTAS,17f4714e-b880-4ce2-860c-cb12478186f9
22,ti_Dolcetto,Dolcetto,2015,0,TINTAS,3de40d4d-316d-412a-9315-f2c33b8dc2da
23,ti_Durif,Durif,2015,0,TINTAS,e86acada-10a9-44ae-87d1-9a24456142f7
24,ti_Egiodola,Egiodola,2015,1053654,TINTAS,a5ae7db2-de3c-4780-9724-300bbd8654db
25,ti_Ekigaina,Ekigaina,2015,1090,TINTAS,6b1c34fe-6775-4e11-bd6d-846a495e2979
26,ti_Festival (Sugraone),Festival (Sugraone),2015,0,TINTAS,f41874c7-2910-47c6-bb40-1981c34a5177
27,ti_Franconia,Franconia,2015,0,TINTAS,75c90341-0312-4f44-96b5-901cd4c1deb9
28,ti_Freisa,Freisa,2015,24452,TINTAS,a123de6f-a641-4880-840f-f332fec93b0d
29,ti_Gamay St Romain,Gamay St Romain,2015,31935,TINTAS,7892b287-b614-4c2d-935c-bf23a1cff941
30,ti_Gamay Beaujolais,Gamay Beaujolais,2015,121516,TINTAS,cbe1732e-88b9-4ce4-86f0-9bb6e2ae2460
31,ti_Grand Noir,Grand Noir,2015,0,TINTAS,c7dc90f1-2ee6-446f-ac0c-8412c1388d02
32,ti_Grenache,Grenache,2015,0,TINTAS,122942d2-6b6a-43aa-8924-36f41641453a
33,ti_Jaen,Jaen,2015,0,TINTAS,9b934032-5b90-4581-92ee-72250a09789f
34,ti_Lagrein,Lagrein,2015,1400,TINTAS,87b9beca-2077-4f71-9213-66683025ce5f
35,ti_Lambrusco,Lambrusco,2015,39990,TINTAS,9e051255-000f-44ea-b436-66836916a4d7
36,ti_Malbec,Malbec,2015,624096,TINTAS,668b727d-8b90-418c-b107-81443840db80
37,ti_Marzemina,Marzemina,2015,750,TINTAS,7d297d09-d763-4ff4-b6c5-ca77c297c8f0
38,ti_Merlot,Merlot,2015,8030882,TINTAS,2e6542d5-0a51-4b07-af79-002723b90626
39,ti_Marselan,Marselan,2015,411105,TINTAS,dab52351-089b-4da0-aa2e-001a478b086e
40,ti_Molinera,Molinera,2015,1080,TINTAS,4d4c78b4-4711-44e5-89fc-c4dbd2d2c4f8
41,ti_Montepulciano,Montepulciano,2015,25640,TINTAS,213a22ca-359b-41e4-9408-75a8cb71a722
42,ti_Moscato Bailey,Moscato Bailey,2015,0,TINTAS,2fdd3405-d01f-478f-9429-adfc590d2cb2
43,ti_Napa Gamay,Napa Gamay,2015,8970,TINTAS,8a231830-eeb5-4ba9-b002-7d5ebfbad88f
44,ti_Nebbiolo,Nebbiolo,2015,12754,TINTAS,2d26a5a1-2450-46e1-b003-336eac5f63c0
45,ti_Petit Verdot,Petit Verdot,2015,135770,TINTAS,a43b1344-4c69-472b-b117-169a874935b7
46,ti_Petite Sirah,Petite Sirah,2015,48483,TINTAS,321e61b2-fac9-4323-a3ef-e4bce88999f8
47,ti_Pinotage,Pinotage,2015,560195,TINTAS,8ca3abae-3dbb-4ced-b5c4-32cfeeb46876
48,ti_Pinot Noir,Pinot Noir,2015,3125882,TINTAS,a575bd57-c8c2-4418-9774-258f2def894a
49,ti_Pinot Saint George,Pinot Saint George,2015,0,TINTAS,2fed826f-c4b3-4839-a80c-07e5711bdc11
50,ti_Piriquita,Piriquita,2015,0,TINTAS,bd4f7c17-a5f4-4753-9172-5743c266d6b7
51,ti_Rebo,Rebo,2015,22290,TINTAS,fd93583d-f707-4ec2-ae29-a62806b084b3
52,ti_Refosco,Refosco,2015,9310,TINTAS,08c5edf1-86b4-44db-b3f0-5f704f19656e
53,ti_Rondinella,Rondinella,2015,1110,TINTAS,6fcd8e22-2e31-49e4-b766-f7b1e56fe392
54,ti_Ruby Cabernet,Ruby Cabernet,2015,388019,TINTAS,7dfe2a22-53da-4b8b-a0ce-ee19bceb42c9
55,ti_Sangiovese,Sangiovese,2015,135962,TINTAS,04b7aa2f-af06-4b7d-a74a-49274cfe523c
56,ti_Sira (falsa),Sira (falsa),2015,0,TINTAS,9affa764-c188-4eb4-90cd-f52d9d9863b8
57,ti_Tannat,Tannat,2015,2761604,TINTAS,990122a5-3c96-4733-94f6-d339e895314d
58,ti_Tempranillo,Tempranillo,2015,182579,TINTAS,600f9133-76aa-43b0-9edf-edaac80bb553
59,ti_Teroldego,Teroldego,2015,97455,TINTAS,b57904c5-050e-4deb-a00d-6543573cd6a8
60,ti_Torrontes,Torrontes,2015,10070,TINTAS,b4a65168-9ead-4456-87f4-3cc16629cd09
61,ti_Tinta Barroca,Tinta Barroca,2015,0,TINTAS,28d5e9a2-f476-444d-90a3-def348c69e13
62,ti_Touriga Francesa,Touriga Francesa,2015,0,TINTAS,1f88b5d5-8d12-4c1d-81c3-8cfde49b1a19
63,ti_Touriga Nacional,Touriga Nacional,2015,136611,TINTAS,0e1f8375-70e7-4642-b8fb-5bb7d1302b40
64,ti_Tinta Madeira,Tinta Madeira,2015,0,TINTAS,9f77ea0c-27ba-4788-985b-7848f8192a29
65,ti_Tintoria,Tintoria,2015,0,TINTAS,4f5b8632-0279-46b6-8d9e-ccce0aae2db3
66,ti_Trincdeira,Trincdeira,2015,0,TINTAS,96d72ca0-ab7a-41be-b4b3-3bb554fe3601
67,ti_Trousseau,Trousseau,2015,0,TINTAS,c08619a4-ee86-4480-8bb3-93c0f5a42709
68,ti_Zinfandel,Zinfandel,2015,0,TINTAS,7299ee7a-ee86-43ca-b3fb-e34ada264007
69,ti_Outras1,Outras1,2015,0,TINTAS,576a97ed-6901-4193-b5fb-8d2d4e8ab099
71,br_Aliatico,Aliatico,2015,0,BRANCAS E ROSADAS,a052e5c8-5d13-4639-9d39-a708b7d1413a
72,br_Aligote,Aligote,2015,0,BRANCAS E ROSADAS,2baabd8b-a26c-4f13-800c-bee7818d2070
