id,control,produto,ano,valor,categoria,product_id
35,ou_Borra_liqwuida,  Borra líquida,2011,22016,OUTROS PRODUTOS COMERCIALIZADOS,2a5ca944-c9e6-4079-8146-db127733efb4
36,ou_Borra_seca,  Borra seca,2011,73006,OUTROS PRODUTOS COMERCIALIZADOS,6959e55e-46af-42c0-9661-e302af9d0e04
37,ou_Brandy,  Brandy (conhaque),2011,5640,OUTROS PRODUTOS COMERCIALIZADOS,2b77f30e-b497-498d-b833-0ae61c052175
38,ou_Cooler,  Cooler,2011,4684087,OUTROS PRODUTOS COMERCIALIZADOS,ee9ee5e2-b4ff-4fac-9847-9c564963e1e3
39,ou_Coquetel,  Coquetel com vinho,2011,805235,OUTROS PRODUTOS COMERCIALIZADOS,368f22b1-325d-45c3-a499-99b14531b246
40,ou_Destilado,  Destilado de vinho,2011,90364,OUTROS PRODUTOS COMERCIALIZADOS,404071f5-c2bf-418c-b0e9-77cc209cee15
41,ou_Filtrado_doce,  Filtrado doce,2011,7001836,OUTROS PRODUTOS COMERCIALIZADOS,c3931d39-67b2-4752-a759-5217d2d2fa65
42,ou_Jeropiga,  Jeropiga,2011,57887,OUTROS PRODUTOS COMERCIALIZADOS,45fcded8-19df-480e-a839-2ff77deae67d
43,ou_Mistelas,  Mistelas,2011,983,OUTROS PRODUTOS COMERCIALIZADOS,635bde65-9dc1-4193-b800-e7d3b13c5a92
44,ou_Mosto_concentrado,  Mosto concentrado,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,88c86522-d8d3-457f-806b-0403fd75f858
45,ou_Mosto_uva,  Mosto de uva,2011,291399,OUTROS PRODUTOS COMERCIALIZADOS,55c366fa-6f87-488e-a8ce-dfefe32eb7cf
46,ou_Mosto_sulfitado,  Mosto sulfitado,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,2a17e52f-e117-4a6e-b3c3-8d0ff9bfe5c1
47,ou_Nectar,  Nectar de uva,2011,5703340,OUTROS PRODUTOS COMERCIALIZADOS,2c82b4e5-c5c4-4c95-a235-34a6062f154a
48,ou_Outros_produtos,  Outros produtos,2011,385029,OUTROS PRODUTOS COMERCIALIZADOS,7e717611-5087-4b08-8aa6-ea10333c9f02
49,ou_Polpa,  Polpa de uva,2011,1875782,OUTROS PRODUTOS COMERCIALIZADOS,ca4537f0-e24a-4f2d-9942-1b5abd7a2a10
50,ou_Preparado_líquido,  Preparado líquido para refresco,2011,367193,OUTROS PRODUTOS COMERCIALIZADOS,325ce822-4902-4732-b742-0ad21db152fe
51,ou_Refrigerante,  Refrigerante +50% suco,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,91224187-064c-4eeb-8ab4-02474d6962e9
52,ou_Sangria,  Sangria,2011,158868,OUTROS PRODUTOS COMERCIALIZADOS,1b2d0fca-abf5-4fa2-a2e5-c46de35e6f66
53,ou_Vinagre_balsamico,  Vinagre balsamico,2011,78540,OUTROS PRODUTOS COMERCIALIZADOS,fb13ac5f-c178-4b91-b18e-bf561ef48902
54,ou_Vinagre_duplo,  Vinagre duplo,2011,875720,OUTROS PRODUTOS COMERCIALIZADOS,17892464-215b-470d-be67-7ee64e0be5f5
55,ou_Vinagre_simples,  Vinagre simples,2011,3386303,OUTROS PRODUTOS COMERCIALIZADOS,ec6aa402-0e2d-4f9a-9b32-a67683349a36
56,ou_Vinho_acetificado,  Vinho acetificado,2011,983700,OUTROS PRODUTOS COMERCIALIZADOS,94324dda-047d-4f23-ab46-997329a7e4bd
57,ou_Vinho_base,  Vinho base para espumantes,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,16d79f18-b4f8-4abf-bc61-cd2f4f8a37c5
58,ou_Vinho_composto,  Vinho composto,2011,662965,OUTROS PRODUTOS COMERCIALIZADOS,b418d650-5457-4c80-a097-e9b41db2e4d6
59,ou_Vinho_licoroso,  Vinho licoroso,2011,593486,OUTROS PRODUTOS COMERCIALIZADOS,a72ca5ec-1b29-437c-b2e2-0136abda4cdc
60,ou_Vinho_leve,  Vinho leve,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,16d37d33-0b07-44e0-bb1b-183a17037b1f
61,ou_Vinho_gaseificado,  Vinho gaseificado,2011,0,OUTROS PRODUTOS COMERCIALIZADOS,098be09c-1ce4-4b75-85fa-a4fd839d6f94
2,vm_Tinto,  Tinto,2012,173964776,VINHO DE MESA,e3a57883-ae83-4961-91e3-7463c36f14d6
3,vm_Rosado,  Rosado,2012,1738134,VINHO DE MESA,33c04376-719e-4f42-a78b-7a910ab6d2b7
4,vm_Branco,  Branco,2012,31266661,VINHO DE MESA,51de7912-0a26-4515-8615-2ee070aa82bd
6,vm_Tinto,  Tinto,2012,15443016,VINHO  FINO DE MESA,4ded6a65-b8f0-47b4-b212-06fd63279dec
7,vm_Rosado,  Rosado,2012,150806,VINHO  FINO DE MESA,f1da8c54-55a2-421a-823c-abdcfe1436b8
8,vm_Branco,  Branco,2012,6876128,VINHO  FINO DE MESA,d0c615a3-0c7b-48e4-981c-849a509ab069
12,ve_Tinto,  Tinto,2012,239,VINHO ESPECIAL,649e64d0-2590-4f79-a43b-ac554ac9a951
13,ve_Rosado,  Rosado,2012,0,VINHO ESPECIAL,b54ea902-7899-43f9-b493-623125f9d955
14,ve_Branco,  Branco,2012,0,VINHO ESPECIAL,137b46cb-0dfe-4127-96f2-e4cecfe1836d
16,es_Espumante_Moscatel,  Espumante  Moscatel,2012,3610289,ESPUMANTES ,4db8b02d-88cb-40e7-8ac3-d7034ca0f03c
17,es_Espumante,  Espumante,2012,11278858,ESPUMANTES ,8e2a2f59-d4e0-40c7-baa6-996969017f29
18,es_Espumante Orgânico,  Espumante Orgânico,2012,0,ESPUMANTES ,19fe2e5a-69af-411f-a92e-3b6bac1776bd
20,su_Suco_Natural,   Suco Natural Integral,2012,0,SUCO DE UVAS,22c1ba41-fdd7-4f0a-9ffb-c838c2c1f93c
21,su_Suco_Reprocessado,   Suco Reprocessado/reconstituido,2012,0,SUCO DE UVAS,a96713b6-0723-4e7c-bf6d-22ada882508d
22,su_Suco_Orgânico,   Suco Orgânico,2012,0,SUCO DE UVAS,45082533-8be9-4011-996c-abda8d4314da
23,su_Outros_sucos,   Outros sucos de uvas,2012,0,SUCO DE UVAS,390b8209-b2cd-46f9-87a3-6a57da8821e7
26,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),2012,0,OUTROS PRODUTOS COMERCIALIZADOS,856a20e2-2dd8-4c9a-9373-3b7e1a874b63
27,ou_Agrin,"  Agrin (fermentado, acetico misto)",2012,5311258,OUTROS PRODUTOS COMERCIALIZADOS,74e5ce5c-cd3d-459b-9559-bd9dc3a9a809
28,ou_Aguardente,  Aguardente de vinho 50°gl,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,684c0eb2-f170-4d44-b6ab-7106b2057256
29,ou_Alcool_vinico,  Alcool vinico,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,200fa360-d8e7-4ac7-9fbe-14bb8d80c169
30,ou_Bagaceira,  Bagaceira (graspa),2012,14710,OUTROS PRODUTOS COMERCIALIZADOS,c5ac21d1-f590-480a-ae21-f45677bebc07
31,ou_Base_champenoise,  Base champenoise champanha,2012,42671,OUTROS PRODUTOS COMERCIALIZADOS,c226acbb-750c-4277-8491-ce1ec7703d5c
32,ou_Base_charmat,  Base charmat champanha,2012,46518,OUTROS PRODUTOS COMERCIALIZADOS,c2c74d19-bbc9-4d22-ab18-e5cebc040832
33,ou_Base_espumante,  Base espumante moscatel,2012,25921,OUTROS PRODUTOS COMERCIALIZADOS,a951817c-6a1a-46ef-b245-8517d1f7ddeb
34,ou_Bebida,  Bebida de uva,2012,261223,OUTROS PRODUTOS COMERCIALIZADOS,f01f146e-8bb6-4821-ba59-5b3325a58231
35,ou_Borra_liqwuida,  Borra líquida,2012,21980,OUTROS PRODUTOS COMERCIALIZADOS,d86d82de-b518-40e3-9f68-4511caa03489
36,ou_Borra_seca,  Borra seca,2012,89000,OUTROS PRODUTOS COMERCIALIZADOS,8ceb3301-ffc5-41d6-91d7-4d052b487a7c
37,ou_Brandy,  Brandy (conhaque),2012,5495,OUTROS PRODUTOS COMERCIALIZADOS,63e2b518-e53b-4c17-8294-8202bf163f0d
38,ou_Cooler,  Cooler,2012,4258333,OUTROS PRODUTOS COMERCIALIZADOS,9e99b4da-7a94-4926-b423-f7e0c7b6b913
39,ou_Coquetel,  Coquetel com vinho,2012,907199,OUTROS PRODUTOS COMERCIALIZADOS,50e38b19-c73d-4100-b42c-f53bcb3fa471
40,ou_Destilado,  Destilado de vinho,2012,30000,OUTROS PRODUTOS COMERCIALIZADOS,7532733a-1625-43a4-968a-a422dd3c4291
41,ou_Filtrado_doce,  Filtrado doce,2012,7108554,OUTROS PRODUTOS COMERCIALIZADOS,47657389-0cb3-4793-a93e-425d8fe48775
42,ou_Jeropiga,  Jeropiga,2012,55050,OUTROS PRODUTOS COMERCIALIZADOS,6069e6c6-eddf-404d-8925-fff748894e58
43,ou_Mistelas,  Mistelas,2012,5097,OUTROS PRODUTOS COMERCIALIZADOS,5b719611-22c8-45a3-9557-bf533d51dd68
44,ou_Mosto_concentrado,  Mosto concentrado,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,ef9e2a66-acc1-4c1d-a7d9-69b949ebc281
45,ou_Mosto_uva,  Mosto de uva,2012,29304,OUTROS PRODUTOS COMERCIALIZADOS,fde1a6fa-31f4-4e4b-9cc9-4d24b5701394
46,ou_Mosto_sulfitado,  Mosto sulfitado,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,bb5e0eae-06c3-4903-8492-fd1c8fb308df
47,ou_Nectar,  Nectar de uva,2012,5644055,OUTROS PRODUTOS COMERCIALIZADOS,d85bea58-9520-4823-99e9-7d5c1f37d30a
48,ou_Outros_produtos,  Outros produtos,2012,484205,OUTROS PRODUTOS COMERCIALIZADOS,9efe3877-8239-4de5-8245-1b80a5f4ac9b
49,ou_Polpa,  Polpa de uva,2012,1995839,OUTROS PRODUTOS COMERCIALIZADOS,dfe7143a-9bed-4a92-b804-bdac91d973c2
50,ou_Preparado_líquido,  Preparado líquido para refresco,2012,613313,OUTROS PRODUTOS COMERCIALIZADOS,b51d4832-49fb-4da6-bd47-defb9fcbeaa8
51,ou_Refrigerante,  Refrigerante +50% suco,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,1a86dd09-26b5-42b8-a292-e6dc3ab6ba45
52,ou_Sangria,  Sangria,2012,73590,OUTROS PRODUTOS COMERCIALIZADOS,fd038e23-6a62-4c38-a1da-52280015d36f
53,ou_Vinagre_balsamico,  Vinagre balsamico,2012,102259,OUTROS PRODUTOS COMERCIALIZADOS,8e55cc30-99ad-4de4-829e-31a3a0652b3d
54,ou_Vinagre_duplo,  Vinagre duplo,2012,1208132,OUTROS PRODUTOS COMERCIALIZADOS,a14ce2ed-08dc-4162-ab08-63b8a39cc574
55,ou_Vinagre_simples,  Vinagre simples,2012,4027358,OUTROS PRODUTOS COMERCIALIZADOS,4335ec76-2372-41b3-94c2-a376b243892f
56,ou_Vinho_acetificado,  Vinho acetificado,2012,2110450,OUTROS PRODUTOS COMERCIALIZADOS,0427098f-093f-411f-81de-332a30d05520
57,ou_Vinho_base,  Vinho base para espumantes,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,215c8000-fe56-4341-b456-a17706cbc15c
58,ou_Vinho_composto,  Vinho composto,2012,510914,OUTROS PRODUTOS COMERCIALIZADOS,17c99bb4-9125-4e24-b9b5-e211c6f81156
